,threads,size,nproma,repetition,execution_time
431,16,8192,16,10,123
432,4,8192,16,13,424
433,8,262144,16,7,7543
434,32,131072,16,3,1722
435,2,8192,16,5,837
436,32,4096,16,11,41
437,1,32768,64,18,5436
438,16,262144,16,12,5509
439,1,32768,128,9,5412
440,16,262144,16,5,5497
441,16,8192,16,17,120
442,4,8192,16,14,422
443,2,262144,16,19,26611
444,32,131072,16,4,1689
445,8,262144,16,0,7561
446,2,8192,16,2,829
447,32,4096,16,16,40
448,16,262144,16,15,5541
449,4,65536,16,11,3359
450,1,262144,128,4,43195
451,8,32768,16,19,871
452,1,262144,64,15,43429
453,1,131072,64,3,21774
454,1,4096,16,17,711
455,8,32768,16,5,872
456,1,4096,64,9,680
457,8,4096,16,8,113
458,4,16384,16,16,848
459,1,262144,128,14,43238
460,16,8192,16,19,123
461,2,262144,16,17,26663
462,2,65536,16,15,6665
463,32,4096,16,18,39
464,2,16384,16,12,1675
465,1,32768,64,11,5429
466,1,32768,128,0,5406
467,8,32768,16,17,869
468,1,4096,16,19,711
469,16,32768,16,12,473
470,2,4096,16,12,419
471,8,16384,16,4,440
472,1,4096,64,7,682
473,4,4096,16,3,212
474,8,4096,16,6,112
475,4,16384,16,18,847
476,8,32768,16,10,873
477,4,65536,16,18,3364
478,16,32768,16,15,485
479,8,16384,16,3,438
480,1,4096,64,0,681
481,2,4096,16,15,418
482,4,4096,16,4,212
483,8,4096,16,1,112
484,1,262144,128,13,43219
485,8,262144,16,9,7554
486,2,65536,16,12,6667
487,2,262144,16,10,26634
488,2,16384,16,15,1677
489,1,32768,128,7,5411
490,1,32768,64,16,5433
491,8,16384,16,17,442
492,2,8192,16,10,832
493,1,131072,64,18,21713
494,1,131072,128,9,21614
495,16,8192,16,6,123
496,16,16384,16,12,240
497,4,32768,16,18,1682
498,8,65536,16,10,1836
499,1,32768,128,16,5406
500,16,65536,16,15,1213
501,2,131072,16,14,13323
502,8,65536,16,0,1825
503,4,4096,16,18,214
504,1,65536,64,16,10874
505,1,65536,128,7,10807
506,16,131072,16,18,2759
507,2,32768,16,12,3334
508,1,131072,16,7,22543
509,4,262144,16,1,13464
510,1,16384,128,0,2712
511,1,16384,64,11,2723
512,8,65536,16,7,1828
513,2,131072,16,13,13307
514,1,65536,128,0,10808
515,1,65536,64,11,10859
516,4,262144,16,6,13469
517,1,131072,16,0,22543
518,2,32768,16,15,3356
519,1,16384,64,16,2719
520,1,16384,128,7,2714
521,8,16384,16,10,439
522,2,8192,16,17,831
523,16,16384,16,15,244
524,16,8192,16,1,123
525,8,65536,16,17,1826
526,1,32768,128,11,5418
527,16,65536,16,12,1229
528,4,4096,16,11,213
529,8,65536,16,9,1821
530,16,4096,16,12,68
531,32,8192,16,3,67
532,1,4096,16,4,711
533,16,131072,16,11,2762
534,32,8192,16,13,67
535,1,16384,128,9,2709
536,1,16384,64,18,2721
537,4,262144,16,8,13468
538,1,8192,128,13,1360
539,2,8192,16,19,833
540,1,8192,16,12,1415
541,1,131072,64,11,21713
542,1,131072,128,0,21588
543,8,65536,16,19,1821
544,2,262144,16,2,26631
545,4,32768,16,11,1681
546,8,16384,16,19,441
547,1,8192,128,14,1362
548,1,8192,16,15,1413
549,1,131072,128,7,21589
550,1,131072,64,16,21760
551,16,8192,16,8,122
552,4,32768,16,16,1682
553,2,262144,16,5,26673
554,1,32768,128,18,5416
555,4,4096,16,16,213
556,16,4096,16,15,67
557,1,65536,128,9,10831
558,1,65536,64,18,10865
559,32,8192,16,4,66
